# nodes.csv — Создано в Map Editor
node_id,type,name,x,y
126,intersection,"",989.1953302014233,-228.2601456635755
127,intersection,"",714.9247419444889,-306.0627678389634
128,intersection,"",724,-303
130,intersection,"",966,-235
132,intersection,"",980,-231
134,intersection,"",633.5262002567933,-22.312028140490035
135,intersection,"",731,-301
136,intersection,"",729,-293
138,intersection,"",1055,-547
139,intersection,"",1077,-541
140,intersection,"",1066,-544
142,intersection,"",1017,-412
143,intersection,"",1039,-406
144,intersection,"",1029,-409
146,intersection,"",1002.7198589741845,-413.32778890644124
147,intersection,"",1008.3059007231689,-462.27215470706614
148,intersection,"",938.6133798548877,-377.68352250816
149,intersection,"",1025,-356
150,intersection,"",1002.6972094251722,-276.3492610014457
151,intersection,"",1014,-316
152,intersection,"",1049.9966854322124,-305.4066731208653
153,intersection,"",1025.371551388773,-220.27406685640338
154,intersection,"",1068.6414297793883,-207.25792457629973
155,intersection,"",1157.643699964962,-527.3846671410121
156,intersection,"",1145.3311329432422,-546.3811991173797
157,intersection,"",1164.3276649196098,-610.406547630322
158,intersection,"",1102,-630
159,intersection,"",1083,-563
160,intersection,"",1131,-432
161,intersection,"",1088.3415370141397,-444.714574280894
162,intersection,"",1102.7648298110114,-493.61305473858084
163,intersection,"",1076.0289699924201,-402.851846407047
164,intersection,"",1119,-391
166,intersection,"",1101.3576792942436,-208.66507509306768
167,intersection,"",1176.64023194133,-466.1736196616056
168,intersection,"",1190.7117371090096,-462.65574336968564
169,intersection,"",1209.7082690853772,-531.254331062124
170,intersection,"",1143,-476
171,intersection,"",1152,-381
172,intersection,"",1093.6183514520199,-298.0191329078336
173,intersection,"",1125,-289
174,intersection,"",1108,-351
175,intersection,"",1083,-258
176,intersection,"",1089,-279
177,intersection,"",1033,-246
178,intersection,"",1100,-396
179,intersection,"",1201,-502
180,intersection,"",1113,-627
181,intersection,"",1138.6457212619696,-710.6203650650481
182,intersection,"",1170.3066078892487,-701.1220990768643
183,intersection,"",1150.2547130253051,-633.9306619011938
184,intersection,"",1118,-644
185,intersection,"",1162,-673
186,intersection,"",1131,-550
189,metro_station,"Долгопрудная",920,740
190,metro_station,"Новодачная",1400,-950
191,metro_station,"Водники",452.25118622159323,2146.167785114264
192,intersection,"",1169.800925547184,-650.7570791786164
193,intersection,"",1194.0071064594497,-732.9516934851007
194,intersection,"",1267.9556591364808,-769.6599678355693
195,intersection,"",1327.2741024709337,-816.2103157437724
196,intersection,"",1353.0762953114806,-852.1205841301005
197,intersection,"",1382.6025159846838,-955.0633535042409
198,intersection,"",1379,-942
199,intersection,"",1421.0655035111142,-930.2711550516855
200,intersection,"",1424.541904922954,-942.9872814394696
201,intersection,"",1437.9256049229539,-932.4932439394696
202,intersection,"",721.6255881734396,-648.8546727275545
203,intersection,"",927,-586
205,intersection,"",675.4194675014788,-498.69026555955526
206,intersection,"",670,-388
208,intersection,"",680.6498194187665,-411.0249697216473
209,intersection,"",748.9371069187664,-395.6641322216473
210,intersection,"",917.1458819187662,-382.7366947216474
211,intersection,"",865.5882194187662,-387.9076697216474
212,intersection,"",805.9699194187664,-404.18103222164734
213,intersection,"",794.8675319187663,-368.8967322216474
214,intersection,"",755.7664362776715,-387.59545382511294
216,intersection,"",746,-375
217,intersection,"",783,-557
218,intersection,"",863.1524564721645,-537.9002908432524
219,intersection,"",920,-579
220,intersection,"",923,-587
221,intersection,"",836,-484
223,intersection,"",924.4941317810042,-412.5518903642371
224,intersection,"",918,-386
226,intersection,"",878.6303924060041,-425.0750022392371
227,intersection,"",901.3674736560041,-504.829687239237
228,intersection,"",891,-468
230,intersection,"",880,-429
232,intersection,"",890,-463
233,intersection,"",834,-480
234,intersection,"",715.2580931427709,-464.5369552629541
235,intersection,"",701,-407
236,intersection,"",704,-419
238,intersection,"",724.1080647677709,-469.16307679420413
239,intersection,"",719,-467
241,intersection,"",760,-459
242,intersection,"",770.7715515177708,-499.53457032545407
243,intersection,"",761,-463
245,intersection,"",804,-489
246,intersection,"",839,-613
247,intersection,"",837,-604
249,intersection,"",820,-547
251,intersection,"",805,-493
253,intersection,"",926.5477640203007,-602.2298822640649
254,intersection,"",1060,-564
255,intersection,"",724.8086381140511,-661.1626478578148
256,poi,"Дирижабль",1063.7478739762423,-772.2297254929274
257,intersection,"",1123,-786
258,intersection,"",838.4103080973123,-866.4912207349214
259,intersection,"",845.6923120215865,-885.1007863191778
260,intersection,"",1129,-807
261,intersection,"",1125,-713
262,intersection,"",639.048219162551,25.81049900306646
263,intersection,"",876,93
264,intersection,"",643,12
265,intersection,"",880,80
266,intersection,"",902,86
267,intersection,"",893,83
269,intersection,"",898,102
270,intersection,"",889,98
272,poi,"Мираторг",915.0603159559306,89.33536788358884
273,intersection,"",922,-231
274,intersection,"",889.1274843382075,-115.5587312123992
275,intersection,"",931,-105
276,intersection,"",849.1169183320563,27.734923786374736
277,intersection,"",827.7159179101615,24.478249809129878
278,intersection,"",818,62
279,intersection,"",756.9995686899873,5.403445085267116
280,intersection,"",709,31
281,intersection,"",730.480937732422,-38.32903403773531
282,intersection,"",670,20
283,intersection,"",689.539893447058,-49.960012527895536
284,intersection,"",667,-71
285,intersection,"",739.3204813849438,-51.82096908632117
286,intersection,"",741.6466770829758,-83.45723057955698
287,intersection,"",792,-268
288,intersection,"",815,-261
289,intersection,"",809.106352325905,-236.98614664967192
290,intersection,"",915,-208
291,intersection,"",857,-224
292,intersection,"",756,-278
293,intersection,"",703.0318284956438,-90.90105681325953
294,intersection,"",795,-275
295,intersection,"",924,-238
296,intersection,"",758,-285
297,intersection,"",1072,-566
298,intersection,"",862,-18
299,intersection,"",917,-3
300,intersection,"",904,-7
302,intersection,"",945.5606784657018,-107.26309383491314
303,poi,"9/4",927.8355645995648,-167.34825151355432
304,poi,"МФЦ Долгопрудный",892.042253546728,-64.74933783869926
305,poi,"6",858.3236769531761,-234.05654088264737
306,poi,"8",763.1880659282115,-218.76142656995208
307,poi,"2/10",728.927009867774,-247.82214376407313
308,poi,"4",707.054053576938,-166.36625066862803
309,poi,"8А",770.6817291177504,-114.3628620054641
310,poi,"11А",832.5809700014494,-110.9204493210227
311,poi,"6",684.2669354443833,-86.63504607753448
312,poi,"8/11",665.1286106115709,-29.4309309790971
313,poi,"Пятёрочка",695.9428606115708,0.1930690209028505
314,poi,"Долгопрудненский городской суд",876.8539524577461,34.5106959574863
315,poi,"5",782.7926448012615,28.649995923267582
316,poi,"Детский сад Родничок",797.6887561318865,-12.580312223998009
317,intersection,"",752,-122
318,intersection,"",672,-89
319,intersection,"",659,-74
320,intersection,"",694,-169
321,intersection,"",696,-206
322,intersection,"",733,-196
323,intersection,"",704,-204
325,intersection,"",717,-251
326,intersection,"",741,-225
327,intersection,"",862,-248
328,intersection,"",947,-162
329,intersection,"",918,-57
330,intersection,"",884,-97
331,intersection,"",788,14
333,intersection,"",688,25
334,intersection,"",656,-32
335,intersection,"",891,39
336,intersection,"",816,68
337,poi,"Школа №1",1012.7404475540096,-154.84415698483625
338,poi,"36",955.0529569958458,-73.09996556702772
339,poi,"38",932.5129569958458,10.505034432972229
340,poi,"2",1031.6446836022517,-47.658104231793345
341,poi,"27",1015.7287267272518,3.9375801432066044
342,poi,"Сбербанк",974.6544747845955,68.9254130968003
343,poi,"42",927.8688415033457,101.93330637805028
344,poi,"27А",972.0725623470956,153.8368881593002
345,poi,"Яндекс.Маркет",984.2334938539705,205.54613205117516
347,intersection,"",1075.3766138123303,-69.32218955453038
350,intersection,"",947.0815534657017,-111.21736883491313
351,intersection,"",1077,-74
352,intersection,"",955.7505409657018,-108.63188133491313
354,intersection,"",894,117
355,intersection,"",935.1988302316008,131.07237539684078
356,intersection,"",949.8289395741789,170.44066962777825
357,intersection,"",1007.2853689923039,186.66679089863763
358,intersection,"",979.3551602473821,247.0492421852782
359,intersection,"",970,222
360,intersection,"",944,155
361,intersection,"",919,126
362,intersection,"",908,28
363,intersection,"",1042.6636334025382,67.23189826559083
364,intersection,"",917,31
366,intersection,"",981,50
367,intersection,"",923,8
368,intersection,"",946,-76
369,intersection,"",1022,-90
370,intersection,"",1021,-85
372,intersection,"",1012,-54
373,intersection,"",997,-2
374,bus_stop,"ДХЗ ТОС",1210.5868371898096,-1033.9926743731562
375,intersection,"",1215,-1032
376,bus_stop,"МФТИ",1053.001070684933,-479.7179285810987
377,intersection,"",1059,-478
378,intersection,"",1051,-451
379,intersection,"",982,-292
380,intersection,"",899,-254
381,intersection,"",902,-265
382,intersection,"",935.5212598104874,-256.70125891557285
383,intersection,"",976,-271
384,intersection,"",990,-268
385,bus_stop,"Нарсуд",910.1245153555659,40.94521390585538
386,bus_stop,"Нарсуд",902.718515355566,21.10771390585541
387,intersection,"",971,-163
388,intersection,"",882,731
389,intersection,"",892,733
390,intersection,"",910,680
391,intersection,"",899,714
392,intersection,"",740,668
393,intersection,"",870,670
394,intersection,"",860,703
395,intersection,"",900,560
396,intersection,"",910,500
397,intersection,"",775,460
398,intersection,"",789,464
400,intersection,"",796,466
402,intersection,"",780,443
403,intersection,"",966.796505489433,495.9958035210942
404,intersection,"",801,449
406,intersection,"",794,447
408,intersection,"",916,481
409,intersection,"",912,493
411,poi,"ВкусВилл",745.6529616055609,702.1387272521558
412,poi,"Осетинские пироги",734.211785917514,750.2695735214526
413,poi,"Продуктовый рынок",831.6868829658375,732.625566140389
414,intersection,"",719,747
415,intersection,"",732,699
416,intersection,"",841,697
417,intersection,"",839,703
418,intersection,"",321.87201985095925,550.9748641730789
419,intersection,"",345,557
421,intersection,"",469,592
423,intersection,"",601,629
425,intersection,"",719,662
427,intersection,"",732,666
429,intersection,"",351.23863933133407,578.2001676496764
430,intersection,"",736,684
431,intersection,"",728,682
433,intersection,"",714,678
435,intersection,"",597,646
437,intersection,"",464,609
439,intersection,"",837,710
440,poi,"Деломедика",362.33223255819917,598.9895278212837
441,intersection,"",367,583
442,intersection,"",521.9204862849206,370.21781317246734
443,intersection,"",532,373
445,intersection,"",377.8986308937192,888.8583148902206
446,intersection,"",381,878
448,intersection,"",436,679
450,intersection,"",456,607
452,intersection,"",459,598
453,intersection,"",461,590
455,intersection,"",283.2325798781543,860.943966513836
456,intersection,"",91.54462250437234,1543.134391463399
457,intersection,"",170,1261
458,intersection,"",334,649
460,intersection,"",286,850
462,intersection,"",336,641
463,intersection,"",695,746
464,intersection,"",578,712
466,intersection,"",446,673
468,intersection,"",438,671
470,intersection,"",709,747
472,intersection,"",657.5611312054838,965.3203287733672
473,intersection,"",516,927
475,intersection,"",637,960
476,intersection,"",773.6767816398586,982.2056723624295
477,intersection,"",287,844
478,intersection,"",383,871
480,intersection,"Советская улица / Улица Циолковского",389,873
482,intersection,"",521,910
484,intersection,"",641,945
486,intersection,"",653,948
488,intersection,"",662,950
490,intersection,"",855.8504222678506,804.8430497236318
491,intersection,"",332,657
492,intersection,"",434,686
494,intersection,"Улица Циолковского / Советская улица",442,688
496,intersection,"",574,725
498,intersection,"",692,759
500,intersection,"",705,762
502,intersection,"",714,765
504,intersection,"",305.75831098691407,649.4978887042571
505,intersection,"",313,652
507,intersection,"",268.2520306723047,660.137968226132
508,intersection,"",869.6825256462882,805.1090517116787
509,intersection,"",897,19
510,intersection,"",914,42
